subject;phase;stimulus_identity;complete_data;mean_correct;sd_correct;training_performance
133;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,300;0,4701623;Fail
134;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,100;0,3077935;Fail
135;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
137;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,800;0,4103913;Fail
137;extinction;NA;complete;0,800;0,4103913;Fail
139;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,400;0,5026247;Fail
139;extinction;NA;complete;1,000;0,0000000;Fail
140;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,500;0,5129892;Fail
140;extinction;NA;complete;1,000;0,0000000;Fail
141;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;excess;0,950;0,2207214;Fail
141;extinction;NA;excess;0,975;0,1581139;Fail
142;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
142;extinction;NA;complete;0,850;0,3663475;Fail
147;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,900;0,3077935;Fail
150;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
152;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,700;0,4701623;Fail
153;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
153;extinction;NA;complete;0,950;0,2236068;Fail
155;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
155;extinction;NA;complete;1,000;0,0000000;Fail
156;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
156;extinction;NA;complete;1,000;0,0000000;Fail
157;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,950;0,2236068;Fail
157;extinction;NA;complete;1,000;0,0000000;Fail
158;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;1,000;0,0000000;Fail
158;extinction;NA;complete;1,000;0,0000000;Fail
159;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,950;0,2236068;Fail
159;extinction;NA;complete;1,000;0,0000000;Fail
160;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,900;0,3077935;Fail
160;extinction;NA;complete;1,000;0,0000000;Fail
163;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,300;0,4701623;Fail
167;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
172;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
172;extinction;NA;complete;1,000;0,0000000;Fail
174;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;0,250;0,4442617;Fail
174;extinction;NA;complete;0,300;0,4701623;Fail
175;acquisition;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad;partial;1,000;0,0000000;Fail
175;extinction;NA;complete;1,000;0,0000000;Fail
180;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,950;0,2236068;Fail
182;acquisition;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good;partial;0,950;0,2236068;Fail
