ID;IAT_D2;training_condition;IAT_order;Reverse_Scored_IAT_D2
386; 0,503600428;Counterconditioning;Learning_Inconsistent_First;-0,503600428
391; 0,411760886;Counterconditioning;Learning_Consistent_First; 0,411760886
403;-0,250463685;Counterconditioning;Learning_Consistent_First;-0,250463685
409;-0,157324702;Counterconditioning;Learning_Consistent_First;-0,157324702
410;-0,390326563;Counterconditioning;Learning_Inconsistent_First; 0,390326563
414; 0,356147884;Counterconditioning;Learning_Inconsistent_First;-0,356147884
428; 0,328524825;Counterconditioning;Learning_Inconsistent_First;-0,328524825
430; 0,061995167;Counterconditioning;Learning_Inconsistent_First;-0,061995167
432; 0,700383289;Counterconditioning;Learning_Inconsistent_First;-0,700383289
434;-0,049938449;Counterconditioning;Learning_Inconsistent_First; 0,049938449
441; 0,566949470;Counterconditioning;Learning_Consistent_First; 0,566949470
442; 0,959326969;Counterconditioning;Learning_Inconsistent_First;-0,959326969
447; 0,367107311;Counterconditioning;Learning_Consistent_First; 0,367107311
450; 0,239655486;Counterconditioning;Learning_Inconsistent_First;-0,239655486
451;-0,236495737;Counterconditioning;Learning_Consistent_First;-0,236495737
457; 0,302281685;Counterconditioning;Learning_Consistent_First; 0,302281685
 18;-0,408858774;Extinction;Learning_Inconsistent_First; 0,408858774
 22; 0,609687514;Extinction;Learning_Inconsistent_First;-0,609687514
 24; 0,327737488;Extinction;Learning_Inconsistent_First;-0,327737488
 29; 0,235582947;Extinction;Learning_Consistent_First; 0,235582947
 30; 0,324865230;Extinction;Learning_Inconsistent_First;-0,324865230
 34; 0,349959787;Extinction;Learning_Inconsistent_First;-0,349959787
 38;-0,299160030;Extinction;Learning_Inconsistent_First; 0,299160030
 40; 0,967162003;Extinction;Learning_Inconsistent_First;-0,967162003
 42;-0,444365452;Extinction;Learning_Inconsistent_First; 0,444365452
 50; 0,516074821;Extinction;Learning_Inconsistent_First;-0,516074821
 58; 0,411253548;Extinction;Learning_Inconsistent_First;-0,411253548
 59; 0,304220330;Acquisition_Only;Learning_Consistent_First; 0,304220330
 59; 0,304220330;Extinction;Learning_Consistent_First; 0,304220330
 63; 0,446704430;Extinction;Learning_Consistent_First; 0,446704430
 64; 0,362084487;Extinction;Learning_Inconsistent_First;-0,362084487
 65; 0,492532585;Extinction;Learning_Consistent_First; 0,492532585
 69; 0,129850953;Acquisition_Only;Learning_Consistent_First; 0,129850953
 69; 0,129850953;Extinction;Learning_Consistent_First; 0,129850953
 75; 0,342885094;Extinction;Learning_Consistent_First; 0,342885094
 86; 0,563912834;Extinction;Learning_Inconsistent_First;-0,563912834
 91; 0,717906553;Extinction;Learning_Consistent_First; 0,717906553
107;-0,010476473;Extinction;Learning_Consistent_First;-0,010476473
113; 0,012722280;Extinction;Learning_Consistent_First; 0,012722280
117; 0,100140682;Extinction;Learning_Consistent_First; 0,100140682
118; 0,883837089;Extinction;Learning_Inconsistent_First;-0,883837089
119; 0,232724468;Extinction;Learning_Consistent_First; 0,232724468
125;-0,017663671;Acquisition_Only;Learning_Consistent_First;-0,017663671
125;-0,017663671;Extinction;Learning_Consistent_First;-0,017663671
