subject;training_condition;training_performance;stimulus_identity
220;Extinction;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
223;Extinction;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
231;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
237;Counterconditioning;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
238;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
239;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
246;Counterconditioning;Fail;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
248;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
250;Counterconditioning;Pass;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
254;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
256;Counterconditioning;Pass;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
