subject;block_number;training_condition;mean_correct;sd_correct;training_performance;block_type
149;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
151;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
154;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
154;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
155;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
156;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
157;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
160;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
163;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
164;7;Extinction;0,95;0,2236068;Pass;Manipulation_Phase
165;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
166;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
167;4;Counterconditioning;0,95;0,2236068;Pass;Manipulation_Phase
169;4;Counterconditioning;0,95;0,2236068;Pass;Manipulation_Phase
169;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
170;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
171;8;Extinction;0,85;0,3663475;Pass;Manipulation_Phase
172;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
174;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
177;5;Counterconditioning;0,20;0,4103913;Fail;Manipulation_Phase
178;7;Extinction;0,95;0,2236068;Pass;Manipulation_Phase
179;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
180;4;Counterconditioning;1,00;0,0000000;Pass;Manipulation_Phase
180;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
182;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
183;7;Extinction;1,00;0,0000000;Pass;Manipulation_Phase
